nid,x_mm,y_mm,z_mm,ix,iy,iz
277,-97.5,-6.25,-0.5,4,3,1
278,-97.5,-6.25,0.0,4,3,2
279,-97.5,-6.25,0.5,4,3,3
280,-97.5,-6.25,1.0,4,3,4
281,-97.5,-4.166666666666667,-1.0,4,4,0
282,-97.5,-4.166666666666667,-0.5,4,4,1
283,-97.5,-4.166666666666667,0.0,4,4,2
284,-97.5,-4.166666666666667,0.5,4,4,3
285,-97.5,-4.166666666666667,1.0,4,4,4
286,-97.5,-2.0833333333333344,-1.0,4,5,0
287,-97.5,-2.0833333333333344,-0.5,4,5,1
288,-97.5,-2.0833333333333344,0.0,4,5,2
289,-97.5,-2.0833333333333344,0.5,4,5,3
290,-97.5,-2.0833333333333344,1.0,4,5,4
291,-97.5,0.0,-1.0,4,6,0
292,-97.5,0.0,-0.5,4,6,1
293,-97.5,0.0,0.0,4,6,2
294,-97.5,0.0,0.5,4,6,3
295,-97.5,0.0,1.0,4,6,4
296,-97.5,2.0833333333333313,-1.0,4,7,0
297,-97.5,2.0833333333333313,-0.5,4,7,1
298,-97.5,2.0833333333333313,0.0,4,7,2
299,-97.5,2.0833333333333313,0.5,4,7,3
300,-97.5,2.0833333333333313,1.0,4,7,4
301,-97.5,4.166666666666666,-1.0,4,8,0
302,-97.5,4.166666666666666,-0.5,4,8,1
303,-97.5,4.166666666666666,0.0,4,8,2
304,-97.5,4.166666666666666,0.5,4,8,3
305,-97.5,4.166666666666666,1.0,4,8,4
306,-97.5,6.25,-1.0,4,9,0
307,-97.5,6.25,-0.5,4,9,1
308,-97.5,6.25,0.0,4,9,2
309,-97.5,6.25,0.5,4,9,3
310,-97.5,6.25,1.0,4,9,4
311,-97.5,8.333333333333332,-1.0,4,10,0
312,-97.5,8.333333333333332,-0.5,4,10,1
313,-97.5,8.333333333333332,0.0,4,10,2
314,-97.5,8.333333333333332,0.5,4,10,3
315,-97.5,8.333333333333332,1.0,4,10,4
316,-97.5,10.416666666666666,-1.0,4,11,0
317,-97.5,10.416666666666666,-0.5,4,11,1
318,-97.5,10.416666666666666,0.0,4,11,2
319,-97.5,10.416666666666666,0.5,4,11,3
320,-97.5,10.416666666666666,1.0,4,11,4
321,-97.5,12.5,-1.0,4,12,0
322,-97.5,12.5,-0.5,4,12,1
323,-97.5,12.5,0.0,4,12,2
324,-97.5,12.5,0.5,4,12,3
325,-97.5,12.5,1.0,4,12,4
326,-95.0,-12.5,-1.0,5,0,0
327,-95.0,-12.5,-0.5,5,0,1
328,-95.0,-12.5,0.0,5,0,2
329,-95.0,-12.5,0.5,5,0,3
330,-95.0,-12.5,1.0,5,0,4
331,-95.0,-10.416666666666668,-1.0,5,1,0
332,-95.0,-10.416666666666668,-0.5,5,1,1
333,-95.0,-10.416666666666668,0.0,5,1,2
334,-95.0,-10.416666666666668,0.5,5,1,3
335,-95.0,-10.416666666666668,1.0,5,1,4
336,-95.0,-8.333333333333334,-1.0,5,2,0
337,-95.0,-8.333333333333334,-0.5,5,2,1
338,-95.0,-8.333333333333334,0.0,5,2,2
339,-95.0,-8.333333333333334,0.5,5,2,3
340,-95.0,-8.333333333333334,1.0,5,2,4
341,-95.0,-6.25,-1.0,5,3,0
342,-95.0,-6.25,-0.5,5,3,1
343,-95.0,-6.25,0.0,5,3,2
344,-95.0,-6.25,0.5,5,3,3
345,-95.0,-6.25,1.0,5,3,4
346,-95.0,-4.166666666666667,-1.0,5,4,0
347,-95.0,-4.166666666666667,-0.5,5,4,1
348,-95.0,-4.166666666666667,0.0,5,4,2
349,-95.0,-4.166666666666667,0.5,5,4,3
350,-95.0,-4.166666666666667,1.0,5,4,4
351,-95.0,-2.0833333333333344,-1.0,5,5,0
