engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
0.08310000000000001,8.31,484.9326,0.0798272998595544,525.2304990599999,0.07732620224498298
0.08326,8.326,485.0036,0.07997501307461646,525.384999736,0.07747317974254027
0.08341699999999999,8.3417,485.0352,0.08011993546062487,525.4953812784,0.07761757650215631
0.08356999999999999,8.357,485.0983,0.08026114535275089,525.6379649309999,0.07775810742450803
0.08373,8.373,485.1351,0.0804087945017295,525.7554619230001,0.07790519706400093
0.08388,8.388,485.1759,0.0805471957826236,525.872454492,0.0780430412374236
0.084037,8.4037,485.2167,0.08069203527627071,525.9928558178999,0.07818730739142357
0.08419499999999999,8.4195,485.2706,0.08083777613820767,526.127958167,0.078332404908841
0.084345,8.4345,485.31,0.08097611806433239,526.24347195,0.07847019676933238
0.08450200000000001,8.4502,485.3561,0.08112089545091082,526.3696611622,0.07861437325490034
0.084665,8.4665,485.4139,0.08127118355718092,526.5114678435,0.0787639860912595
0.08481999999999999,8.482,485.46,0.08141407461221353,526.6367171999999,0.07890628072078495
0.08497,8.497,485.5139,0.0815523368405757,526.768016083,0.07904391771637094
0.08512499999999999,8.5125,485.5625,0.08169518772983499,526.8960078125,0.07918615912120404
0.08528000000000001,8.528,485.6217,0.08183801821563236,527.035518576,0.07932832527003236
0.08544,8.544,485.6848,0.08198543474129182,527.181709312,0.07947504564932992
0.08560000000000001,8.56,485.7203,0.08213282953852234,527.29795768,0.0796218868829033
0.085757,8.5757,485.7835,0.08227743956835493,527.4428356095001,0.07976580701783349
0.085915,8.5915,485.8203,0.08242294957196393,527.5595510745,0.07991076123351393
0.08607,8.607,485.8597,0.08256567615641373,527.6776443790001,0.08005292546889468
0.08622500000000001,8.6225,485.8781,0.08270838237289269,527.7729391725001,0.08019517790064269
0.08637700000000001,8.6377,485.9413,0.08284830675871944,527.9154516701,0.0803344236555285
0.08653499999999999,8.6535,485.9728,0.08299373372518512,528.026456248,0.08047932202876608
0.086695,8.6695,486.0267,0.08314097999022757,528.1627847565,0.08062591911043471
0.086852,8.6852,486.0767,0.08328544431538185,528.2934335484,0.0807697612984847
0.087005,8.7005,486.1214,0.08342620794450063,528.416392407,0.0809099394092292
0.087162,8.7162,486.1806,0.0835706310732418,528.5570734572,0.08105369262820751
0.08732200000000001,8.7322,486.2214,0.08371779242305054,528.6792250908,0.08120027230357053
0.087482,8.7482,486.2792,0.08386493211958287,528.8198769744,0.0813467422292286
0.08764,8.764,486.32,0.08401021132716562,528.9410848,0.08149144425668943
0.087797,8.7797,486.3831,0.0841545501430197,529.0860770306999,0.0816350926333497
0.08795,8.795,486.4147,0.08429519149539402,529.194872865,0.0817752159103226
0.088107,8.8107,486.4646,0.08443948918637587,529.3255365122,0.08191889139346063
0.08827199999999999,8.8272,486.4909,0.08459111718895823,529.4344247248,0.0820700008807449
0.08843,8.843,486.5356,0.08473629094290112,529.559943108,0.08221457692810112
0.088585,8.8585,486.5817,0.08487868775712785,529.6855398944999,0.08235637566239214
0.088735,8.8735,486.6172,0.08501647182215946,529.797177242,0.08249362812100708
0.088895,8.8895,486.6527,0.08516342056945622,529.9136917664999,0.08264002203723479
0.089057,8.9057,486.7079,0.08531218417884592,530.0526454503,0.08278812396241593
0.089215,8.9215,486.7618,0.08545725329810844,530.188253987,0.08293254732674177
0.08937200000000001,8.9372,486.7973,0.08560138341572301,530.3033482956,0.08307612937622015
0.08953,8.953,486.8473,0.0857464105902145,530.434738769,0.08322053088179068
0.089685,8.9685,486.9012,0.08588866364946876,530.568934122,0.08336214491555448
0.08984,8.984,486.9328,0.08603089647566833,530.6788427519999,0.08350385436732548
0.09,9.0,486.9775,0.08617769624105233,530.8054750000001,0.08365005112200471
0.090157,9.0157,487.0143,0.08632172256601095,530.9220482451,0.08379352233627238
0.09031700000000001,9.0317,487.0538,0.08646847964753283,531.0430380546001,0.08393970327584427
0.09047000000000001,9.047,487.0814,0.08660879596476237,531.147654258,0.08407952142067665
0.090632,9.0632,487.1313,0.08675734472616638,531.2809839816,0.08422743527863495
0.090797,9.0797,487.1669,0.0869086217104869,531.4001930193,0.08437814460087119
0.09095,9.095,487.2024,0.08704887628652234,531.51345828,0.08451785981852235
0.091102,9.1102,487.2431,0.08718819468979216,531.6319208962001,0.08465661411409597
0.09126200000000001,9.1262,487.2931,0.08733482467478704,531.7644428922,0.08480261304196704
0.09141500000000001,9.1415,487.3431,0.08747501949083229,531.8935694865,0.084942192969468
0.091572,9.1572,487.3694,0.08761885910166889,531.9987906968,0.08508553152692222
0.09173999999999999,9.174,487.4233,0.08777275373544689,532.1395135419999,0.08523875605191356
0.0919,9.19,487.464,0.08791929803788351,532.2619416,0.08538471736359779
0.09205999999999999,9.206,487.518,0.0880658208682341,532.39890708,0.08553058797737696
0.09221700000000001,9.2217,487.5456,0.088209575529635,532.5055925952,0.085673834612515
0.09237500000000001,9.2375,487.5955,0.08835422496557133,532.6371343125,0.08581785765932133
0.092535,9.2535,487.6179,0.08850068408771915,532.7396223765,0.08596382874306915
0.09269,9.269,487.6442,0.08864254590996622,532.843940898,0.08610519381045192
0.092845,9.2845,487.6666,0.0887843876102912,532.944005477,0.08624655901278168
0.09301,9.301,487.7034,0.08893535828338103,533.0646932340001,0.08639695498226675
0.09316700000000001,9.3167,487.7257,0.08907898800802815,533.1656402919,0.08654010400663814
0.09332000000000001,9.332,487.7757,0.08921893853163036,533.294928324,0.08667943887294464
0.09348699999999999,9.3487,487.8336,0.08937167263237598,533.4396997632,0.08683148358588455
0.09364499999999999,9.3645,487.8651,0.08951615408139219,533.5512272894999,0.08697543395144218
0.093802,9.3802,487.919,0.08965970041670418,533.6867780379999,0.08711833480699942
0.093957,9.3957,487.9638,0.08980139792567052,533.8114147566,0.08725943880778195
0.09412000000000001,9.412,488.0137,0.0899503871982615,533.945549444,0.08740778934376627
0.094282,9.4282,488.0413,0.09009844043555146,534.0548098465999,0.08755532229342479
0.09444699999999999,9.4447,488.086,0.09024921287043267,534.184258442,0.08770547830642314
0.09461499999999999,9.4615,488.1084,0.09040270326981818,534.290776266,0.08785846147807533
0.094772,9.4772,488.1492,0.09054612240975929,534.4120759824001,0.08800130300031929
0.094922,9.4922,488.1807,0.09068312785456997,534.5197884053999,0.08813779552882997
0.095077,9.5077,488.2123,0.09082468043085773,534.6300608471,0.08827882299825249
0.09524200000000001,9.5242,488.2478,0.09097534341676264,534.7494969676,0.08842891724072645
0.09539999999999998,9.54,488.2794,0.09111959336748389,534.86125476,0.0885726350114839
0.095555,9.5555,488.3333,0.09126108417880462,534.9959884815,0.08871348423365462
0.09571500000000001,9.5715,488.3648,0.09140711821412144,535.108636832,0.08885898184825478
0.09587999999999999,9.588,488.4109,0.09155769348036519,535.239737092,0.08900893282754614
0.096042,9.6042,488.4516,0.09170550895946981,535.3634685672,0.08915615910914981
0.09620200000000001,9.6202,488.4871,0.09185147811279773,535.4805359942,0.08930157079853963
0.09635999999999999,9.636,488.5134,0.091995601745583,535.586551224,0.08944518959689728
0.096517,9.6517,488.541,0.09213879263159098,535.693511697,0.08958787114731956
0.096677,9.6677,488.5726,0.09228469855718065,535.8063332501999,0.0897332398274178
0.09684200000000001,9.6842,488.6002,0.0924351417494313,535.9172205684,0.08988315498481987
0.097007,9.7007,488.6397,0.09258556231193225,536.0411713779,0.09003298530537082
0.09716699999999999,9.7167,488.6633,0.09273140307048977,536.1452468711,0.09017833046634167
0.097325,9.7325,488.7081,0.09287539995019863,536.2716158325001,0.09032172558909149
0.09748699999999999,9.7487,488.7344,0.09302302079452988,536.3796504528001,0.09046883198284988
0.09763999999999999,9.764,488.7659,0.09316242047413635,536.489002476,0.09060771093853635
0.097797,9.7797,488.8067,0.09330544439171416,536.6105288399,0.09075015615914321
0.097957,9.7957,488.8474,0.09345118020755072,536.7334247618,0.09089530675630406
0.098125,9.8125,488.8829,0.09360417995922458,536.8545345625,0.09104772979464125
0.09829,9.829,488.9198,0.09375442479028828,536.975727142,0.09119739751818352
0.09845000000000001,9.845,488.9645,0.09390009519305141,537.103055025,0.09134246159769427
0.09861,9.861,488.9868,0.09404574437903891,537.205788348,0.09148762157738177
0.09878,9.878,489.0184,0.0942004733987752,537.323637552,0.09164178941043234
0.098942,9.8942,489.0408,0.09434789877859431,537.4274748336001,0.09178872032700575
0.09909499999999999,9.9095,489.0776,0.09448711390577105,537.542744772,0.09192738654971391
0.099255,9.9255,489.1039,0.09463267762427131,537.6499075945001,0.09207243996905941
0.099412,9.9412,489.1262,0.09477549142942403,537.7512137944,0.0922147713637364
0.09957200000000001,9.9572,489.1578,0.09492101317972541,537.8642204616,0.09235975498705112
0.09973499999999999,9.9735,489.1762,0.09506924169015932,537.964188307,0.09250750746012598
0.09989699999999999,9.9897,489.2209,0.0952165390565305,538.0926002473,0.09265419334106717
0.10005499999999999,10.0055,489.2446,0.09536017855436651,538.195968453,0.09279734060935223
0.10021200000000001,10.0212,489.2985,0.09550288850753717,538.332081282,0.09293940240619432
0.10038,10.038,489.3248,0.0956555746940964,538.4432234239999,0.0930915593444583
0.10054199999999999,10.0542,489.3748,0.09580278572682956,538.5775211416,0.0932381308642505
0.10070499999999999,10.0705,489.3971,0.0959508836007146,538.6818349555,0.09338573200568841
0.10087,10.087,489.4326,0.0961007762914555,538.801666362,0.09353505407068408
0.10103999999999999,10.104,489.4471,0.09625518768914001,538.900834984,0.09368899323683526
0.10119199999999999,10.1192,489.4734,0.09639322945789223,539.0041922928,0.09382654282792652
0.10135,10.135,489.505,0.09653670004802947,539.11633175,0.09396947942064852
0.10151,10.151,489.5234,0.09668196574832942,539.214920334,0.09411427565150085
0.101672,10.1672,489.5549,0.09682902577359466,539.3289257928,0.09426079279362895
0.10183,10.183,489.5812,0.09697243385788121,539.435253596,0.0944036945550431
0.101992,10.1992,489.6312,0.09711945117624157,539.5696653504,0.09455007181743014
0.10215199999999999,10.2152,489.668,0.09726463225359498,539.688565536,0.09469468670342356
0.10232,10.232,489.7075,0.09741704970351064,539.8143713999999,0.09484650507779636
0.10249000000000001,10.249,489.739,0.09757125800294407,539.9323501099999,0.09500015157384883
0.10265200000000001,10.2652,489.7758,0.09771818731660407,540.0522654215999,0.0951465098622155
0.102817,10.2817,489.789,0.09786781535518257,540.1476356129999,0.09529568375702543
0.10297700000000001,10.2977,489.8074,0.09801288783273998,540.2462966298,0.09544028642021712
0.10314,10.314,489.8298,0.09816065878078724,540.350845572,0.09558755951615866
0.10330199999999999,10.3302,489.839,0.09830750152606774,540.440348378,0.09573397605760108
